2830,Refer,500000
2900,Yes,500000
2902,Yes,500000
2903,Yes,500000
2904,Yes,500000
2905,Yes,500000
2906,Yes,500000
2911,Yes,500000
2912,Yes,500000
2913,Yes,500000
2914,Yes,500000
3000,Yes,1000000
3002,Yes,1000000
3003,Yes,1000000
3004,Yes,500000
3005,Yes,1000000
3006,Yes,1000000
3008,Yes,1000000
3010,Yes,1000000
3011,Yes,500000
3012,Yes,500000
3013,Yes,500000
3015,Yes,500000
3016,Yes,500000
3018,Yes,500000
3019,Yes,500000
3020,Yes,500000
3021,Yes,500000
3022,Yes,500000
3023,Yes,500000
3024,Yes,500000
3025,Yes,500000
3026,Yes,500000
3027,Yes,500000
3028,Yes,500000
3029,Yes,500000
3030,Yes,500000
3031,Yes,500000
3032,Yes,500000
3033,Yes,500000
3034,Yes,500000
3036,Yes,500000
3037,Yes,500000
3038,Yes,500000
3039,Yes,500000
3040,Yes,500000
3041,Yes,500000
3042,Yes,500000
3043,Yes,500000
3044,Yes,500000
3045,Yes,500000
3046,Yes,500000
3047,Yes,500000
3048,Yes,500000
3049,Yes,500000
3050,Yes,500000
3051,Yes,1000000
3052,Yes,1000000
3053,Yes,1000000
3054,Yes,1000000
3055,Yes,500000
3056,Yes,500000
3057,Yes,500000
3058,Yes,500000
3059,Yes,500000
3060,Yes,500000
3061,Yes,500000
3062,Yes,500000
3063,Yes,500000
3064,Yes,500000
3065,Yes,500000
3066,Yes,500000
3067,Yes,500000
3068,Yes,500000
3070,Yes,500000
3071,Yes,500000
3072,Yes,500000
3073,Yes,500000
3074,Yes,500000
3075,Yes,500000
3076,Yes,500000
3078,Yes,500000
3079,Yes,500000
3081,Yes,500000
3082,Yes,500000
3083,Yes,500000
3084,Yes,500000
3085,Yes,500000
3086,Yes,500000
3087,Yes,500000
3088,Yes,500000
3089,Yes,500000
3090,Yes,500000
3091,Yes,500000
3093,Yes,500000
3094,Yes,500000
3095,Yes,500000
3096,Yes,500000
3097,Yes,500000
3099,Yes,500000
3101,Yes,1000000
3102,Yes,1000000
3103,Yes,1000000
3104,Yes,1000000
3105,Yes,500000
3106,Yes,500000
3107,Yes,500000
3108,Yes,500000
3109,Yes,500000
3111,Yes,500000
3113,Yes,500000
3114,Yes,500000
3115,Yes,500000
3116,Yes,500000
3121,Yes,500000
3122,Yes,1000000
3123,Yes,1000000
3124,Yes,1000000
3125,Yes,1000000
3126,Yes,1000000
3127,Yes,1000000
3128,Yes,500000
3129,Yes,500000
3130,Yes,500000
3131,Yes,500000
3132,Yes,500000
3133,Yes,500000
3134,Yes,500000
3135,Yes,500000
3136,Yes,500000
3137,Yes,500000
3138,Yes,500000
3139,Refer,500000
3140,Yes,500000
3141,Yes,1000000
3142,Yes,1000000
3143,Yes,1000000
3144,Yes,1000000
3145,Yes,1000000
3146,Yes,1000000
3147,Yes,500000
3148,Yes,500000
3149,Yes,500000
3150,Yes,500000
3151,Yes,500000
3152,Yes,500000
3153,Yes,500000
3154,Yes,500000
3155,Yes,500000
3156,Yes,500000
3158,Yes,500000
3159,Yes,500000
3160,Yes,500000
3161,Yes,1000000
3162,Yes,1000000
3163,Yes,1000000
3165,Yes,1000000
3166,Yes,500000
3167,Yes,500000
3168,Yes,500000
3169,Yes,500000
3170,Yes,500000
3171,Yes,500000
3172,Yes,500000
3173,Yes,500000
3174,Yes,500000
3175,Yes,500000
3177,Yes,500000
3178,Yes,500000
3179,Yes,500000
3180,Yes,500000
3181,Yes,1000000
